Kingdom,Subkingdoms,Phyla,Subphyla,Classes,Subclasses,Orders,Families,Genera
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytriomycetaceae,Podochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytriomycetaceae,Rhizidium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytriomycetaceae,Rhizoclosmatium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytriomycetaceae,Rhopalophlyctis
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytriomycetaceae,Rodmanochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Chytriomycetaceae,Siphonaria
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Pseudorhizidiaceae,Delfinachytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Pseudorhizidiaceae,Pseudorhizidium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Chytridiales,Scherffeliomycetaceae,Scherffeliomyces
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Amoebochytriaceae,Amoebochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Aphanistis
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Bertramia
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Blyttiomyces
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Canteria
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Dangeardia
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Dangeardiana
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Dictyomorpha
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Gamolpidium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Ichthyochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Loborhiza
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Macrochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Megachytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Mitochytridium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Mucophilus
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Nowakowskia
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Olpidiaster
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Perolpidium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Physorhizophidium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Plasmophagus
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Pseudopileum
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Rhizidiocystis
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Rhizosiphon
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Riethophlyctis
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Saccomyces
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Sagittospora
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Scherffeliomycopsis
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Schizolpidium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Septolpidium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Septosperma
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Solutoparies
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Sorokinocystis
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Sporophlyctidium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Sporophlyctis
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Trematophlyctis
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Incertae_sedis,Truittella
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Sparrowiaceae,Sparrowia
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Sphaeromonadaceae,Sphaeromonas
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Tetrachytriaceae,Tetrachytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Tetrachytriaceae,Zygochytrium
